"visitDate","newCustomers","returnCustomers"
"2020-04-03T02:00:00.000Z","0","0"
"2020-04-02T02:00:00.000Z","0","2"
"2020-04-01T02:00:00.000Z","0","0"
"2020-03-30T02:00:00.000Z","0","0"
"2020-03-29T02:00:00.000Z","0","0"
"2020-03-27T02:00:00.000Z","0","4"
"2020-02-15T02:00:00.000Z","1","0"
"2020-03-31T02:00:00.000Z","0","0"
"2020-01-20T02:00:00.000Z","12","7"
"2020-02-01T02:00:00.000Z","0","2"
"2020-03-01T02:00:00.000Z","0","0"
"2020-01-27T02:00:00.000Z","1","5"
"2020-03-28T02:00:00.000Z","0","0"
"2020-01-21T02:00:00.000Z","7","1"
"2020-04-04T02:00:00.000Z","0","0"
"2019-02-20T02:00:00.000Z","0","0"
"2019-03-20T02:00:00.000Z","3","1"
"2020-02-14T02:00:00.000Z","1","0"
"2020-01-02T02:00:00.000Z","0","0"
"2020-01-18T02:00:00.000Z","0","0"
"2020-02-20T02:00:00.000Z","10","3"
"2020-03-04T02:00:00.000Z","2","0"
"2020-03-09T02:00:00.000Z","0","0"
"2020-02-16T02:00:00.000Z","0","0"
"2020-02-17T02:00:00.000Z","1","0"
"2020-02-19T02:00:00.000Z","0","0"
"2020-03-05T02:00:00.000Z","11","0"
"2020-03-25T02:00:00.000Z","4","2"
"2020-02-27T02:00:00.000Z","0","0"
"2020-03-23T02:00:00.000Z","0","0"
"2020-03-13T02:00:00.000Z","0","0"
"2020-03-24T02:00:00.000Z","0","0"
